AF370043.1 ,1
MF972070.1 ,1
AF370044.1 ,2
AF370045.1 ,2
AF370046.1 ,2
AF237737.1 ,2
AF370047.1 ,2
JX443080.1 ,2
AF370048.1 ,2
AF237753.1 ,2
AF370053.1 ,2
AF237752.1 ,2
AF237751.1 ,2
AF237736.1 ,2
AF370056.1 ,2
NEP17_01 ,2
NEP17_03 ,2
NEP17_04 ,2
AF370064.1 ,2
AF237738.1 ,2
CWP10_56 ,2
CWP10_58 ,2
SWP22_13 ,2
SWP22_15 ,2
AF370057.1 ,2
AF370058.1 ,2
AF370065.1 ,2
AF370066.1 ,2
AF370067.1 ,2
AF370068.1 ,2
AF370069.1 ,2
AF370070.1 ,2
AF370071.1 ,2
AF370074.1 ,2
AF370072.1 ,2
AF237739.1 ,2
AF370049.1 ,2
AF370050.1 ,2
AF370051.1 ,2
AF370055.1 ,2
AF370052.1 ,2
AF370059.1 ,2
AF370062.1 ,2
AF237750.1 ,2
AF237749.1 ,2
AF237748.1 ,2
AF237747.1 ,2
AF237744.1 ,2
AF237741.1 ,2
AF237740.1 ,2
AF237743.1 ,2
AF237742.1 ,2
AF370054.1 ,2
AF370060.1 ,2
AF370061.1 ,2
AF237745.1 ,2
AF237746.1 ,2
AF370063.1 ,2
AF370073.1 ,2
AF370079.1 ,2
AF370075.1 ,2
AF370076.1 ,2
OL457405.1 ,2
OL457402.1 ,2
AF370078.1 ,2
AF370080.1 ,2
AF370081.1 ,2
AF370082.1 ,2
AF370077.1 ,2
AF370089.1 ,3
AF370090.1 ,3
AF370091.1 ,3
AF370095.1 ,3
AF370096.1 ,3
AF370097.1 ,3
AF370098.1 ,3
AF370099.1 ,3
AF370094.1 ,3
AF370092.1 ,3
AF370093.1 ,3
AF370100.1 ,3
AF370101.1 ,3
AF370102.1 ,3
AF370103.1 ,3
AF370104.1 ,3
AF370105.1 ,3
AF370106.1 ,3
AF370107.1 ,3
AF370108.1 ,3
AF370109.1 ,3
AF370110.1 ,3
AF370111.1 ,3
AF370112.1 ,3
AF370113.1 ,3
AF370114.1 ,3
AF370083.1 ,4
AF370084.1 ,4
AF237760.1 ,4
AF370085.1 ,5
AF237757.1 ,5
AF237756.1 ,5
AF237755.1 ,5
AF370086.1 ,5
AF370087.1 ,5
AF237758.1 ,5
AF237754.1 ,5
AF370088.1 ,5
